dimension,theme,type,detail,standard_code,urls,resource_code
Social,Comunidades locales,Registro,Matriz con medidas de mitigación,A108,"{'web': 'https://ciruelacertificada.cl/recurso/matriz-con-medidas-de-mitigacion/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P115-A108.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P115-A108.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P115-A108-Matriz-con-medidas-de-mitigacion.xlsx'}",000036
Social,Comunidades locales,Registro,Libro de reclamos y sugerencias,A114,"{'web': 'https://ciruelacertificada.cl/recurso/libro-de-reclamos-y-sugerencias/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P121-A114-Libro-de-reclamos-y-sugerencias.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P121-A114-Libro-de-reclamos-y-sugerencias.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P121-A114-Libro-de-reclamos-y-sugerencias.xlsx'}",000037
Social,Comunidades locales,Registro,Registro de portafolio de evidencia,A109,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-portafolio-de-evidencia/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.xlsx'}",000038
Social,Comunidades locales,Registro,Registro de portafolio de evidencia,A111,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-portafolio-de-evidencia/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.xlsx'}",000039
Social,Comunidades locales,Registro,Registro de portafolio de evidencia,A113,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-portafolio-de-evidencia/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P116-P118-P120-A109-A111-A113-Portafolio-de-evidencia.xlsx'}",000040
Ética,Debida diligencia,Registro,Matriz con listado de normativas aplicables,A129,"{'web': 'https://ciruelacertificada.cl/recurso/matriz-con-listado-de-normativas-aplicables/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P143-A129-Matriz-de-normativas-1.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P143-A129-Matriz-de-normativas-1.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P143-A129-Matriz-de-normativas-1.xlsx'}",000041
General,General,Registro,Registro de capacitaciones,A002,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-capacitaciones/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.xlsx'}",000042
General,General,Registro,Registro de capacitaciones,A004,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-capacitaciones/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.xlsx'}",000043
General,General,Registro,Registro de capacitaciones,A020,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-capacitaciones/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.xlsx'}",000044
General,General,Registro,Registro de capacitaciones,A042,"{'web': 'https://ciruelacertificada.cl/recurso/registro-de-capacitaciones/', 'pdf': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.pdf', 'word': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.docx', 'excel': 'http://ciruelacertificada.cl/wp-content/uploads/2025/03/P2-P4-P27-P38-P63-P68-P72-P81-P89-P110-P112-P113-P134-P139-A2-A4-A20-A42-A50-A53-A65-A72-A83-A103-A105-A106-A124-A130-Registro-de-capacitaciones.xlsx'}",000045
