dimensión,tema,tipo,detalle,código_recurso,url_web,url_curso,url_pdf,url_word,url_excel
Ambiente,Inocuidad,Señalética,Dé aviso en caso de enfermedad,P098 ,https://ciruelacertificada.cl/recurso/senaletica-de-aviso-en-caso-de-enfermedad/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P98-A84-Aviso-enfermedad.pdf,,
Ambiente,Inocuidad,Señalética,Lavado correcto de manos,P098 ,https://ciruelacertificada.cl/recurso/senaletica-lavado-correcto-de-manos/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P98-A84-Lavado-de-manos.pdf,,
Social,CT y PS,Señalética,Zona de seguridad,P127,https://ciruelacertificada.cl/recurso/senaletica-zona-de-seguridad/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P127-A119-Zona-de-seguridad.pdf,,
Social,CT y PS,Señalética,Vía de escape izquierda,P127,https://ciruelacertificada.cl/recurso/senaletica-via-de-escape-izquierda/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P127-A119-Escape-izquierda.pdf,,
Social,CT y PS,Señalética,Vía de escape derecha,P127,https://ciruelacertificada.cl/recurso/senaletica-via-de-escape-derecha/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P127-A119-Escape-derecha.pdf,,
Social,CT y PS,Señalética,Botiquín,P127,https://ciruelacertificada.cl/recurso/senaletica-botiquin/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P127-A119-Botiquin.pdf,,
Social,CT y PS,Señalética,Extintor,P127,https://ciruelacertificada.cl/recurso/senaletica-extintor/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P127-A119-Extintor.pdf,,
Social,CT y PS,Señalética,Teléfonos de emergencia,P127,https://ciruelacertificada.cl/recurso/senaletica-telefonos-de-emergencia/,,http://ciruelacertificada.cl/wp-content/uploads/2025/01/P127-A119-Fono-emergencia.pdf,,
Ambiente,Agua,Guía,Guía para el uso sustentable del agua (adaptación predio y planta),"P001, P002, P003, P004, P005, P006, P007, P008, P009, P010, 
P011, P012, P013, P014, P015, P016, P017, P018, P019",https://ciruelacertificada.cl/recurso/guia-para-el-uso-sustentable-del-agua/,,https://ciruelacertificada.cl/wp-content/uploads/2024/11/Agua_Digital.pdf,,
Ambiente,Suelo,Guía,Guía para la gestión sustentable del suelo ,"P020, 
P021, P022, P023, P024, P025, P026, P027, P028, P029, P030, 
P031, P032, P033, P034, P035",https://ciruelacertificada.cl/recurso/guia-para-la-gestion-sustentable-del-suelo/,,https://ciruelacertificada.cl/wp-content/uploads/2024/11/Suelo_Digital.pdf,,
Ambiente,Biodiversidad,Guía,Guía para la conservación de la biodiversidad ,"P036, P037, P038, P039, P040, 
P041, P042, P043, P044, P045, P046",https://ciruelacertificada.cl/recurso/guia-para-la-conservacion-de-la-biodiversidad/,,https://ciruelacertificada.cl/wp-content/uploads/2024/11/Biodiversidad_Digital.pdf,,
Ambiente,Insumos,Guía,Guía para la gestión sustentable los insumos ,"P047, P048, P049, P050, 
P051, P052, P053, P054, P055, P056, P057",https://ciruelacertificada.cl/recurso/guia-para-la-gestion-sustentable-de-los-insumos-utilizados-en-el-proceso-productivo/,,https://ciruelacertificada.cl/wp-content/uploads/2024/11/Insumos_Digital.pdf,,
Ambiente,Residuos,Guía,Guía para la gestión sustentable de los residuos.,"P058, P059, P060, 
P061, P062, P063, P064, P065, P066, P067, P068, P069",https://ciruelacertificada.cl/recurso/guia-gestion-sustentable-de-los-residuos/,,https://ciruelacertificada.cl/wp-content/uploads/2024/11/Residuos_Digital.pdf,,
Ambiente,Energía,Guía,"Guía para el uso, manejo y ahorro del recurso energético ","P070, 
P071, P072, P073, P074, P075, P076, P077, P078",https://ciruelacertificada.cl/recurso/guia-para-la-gestion-sustentable-de-la-energia/,,https://ciruelacertificada.cl/wp-content/uploads/2024/11/Energia_Digital.pdf,,
Ambiente,GEI,Guía,Guía para la gestión de emisiones de Gases de Efecto Invernadero,"P079, P080, 
P081, P082, P083, P084, P085, P086",https://ciruelacertificada.cl/recurso/guia-para-la-gestion-de-emisiones-de-gases-efecto-invernadero-gei/,,https://ciruelacertificada.cl/wp-content/uploads/2024/11/GEI_Digital.pdf,,
Calidad,Calidad,Guía,Guía para la gestión eficiente de la calidad ,"P087, P088, P089, P090, 
P091, P092, P093, P094, P095, P096, P097",https://ciruelacertificada.cl/recurso/guia-gestion-de-la-calidad/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/Gestion-de-la-Calidad_Digital.pdf,,
Calidad,Inocuidad,Guía,Guía para la gestión eficiente de la inocuidad ,"P098, P099, P100, 
P101, P102",https://ciruelacertificada.cl/recurso/guia-gestion-de-la-inocuidad/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/Gestion-de-la-Inocuidad_Digital.pdf,,
Gestión ,Viabilidad económica,Guía,Guía para la gestión económica,"P103, P104, P105, P106, P107, P108, P109, P110, 
P111, P112, P113",https://ciruelacertificada.cl/recurso/guia-gestion-economica/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/Viabilidad-Economica_Digital.pdf,,
Social,CT y PS,Guía,Guía para la gestión de las condiciones y protección social de los trabajadores,"P123, P124, P125, P126, P127, P128, P129, P130, 
P131, P132, P133, P134, P135, P136, P137, P138",https://ciruelacertificada.cl/recurso/guia-condiciones-de-trabajo-y-proteccion-social/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/Condiciones-Laborales_Digital.pdf,,
Social,Comunidades locales,Guía,Guía para el relacionamiento comunitario ,"P114, P115, P116, P117, P118, P119, P120, 
P121, P122",https://ciruelacertificada.cl/recurso/guia-para-el-relacionamiento-comunitario/,,https://ciruelacertificada.cl/wp-content/uploads/2024/11/Relacionamiento-Comunitario-Digital.pdf,,
Ética,Debida diligencia,Guía,Guía para la gestión de la debida diligencia de la legislación.,"P139, P140, 
P141, P142, P143, P144, P145",https://ciruelacertificada.cl/recurso/guia-debida-diligencia-de-la-legislacion/,,http://ciruelacertificada.cl/wp-content/uploads/2025/03/Debida-Diligencia_Digital.pdf,,
Ambiente,Agua,Curso,Curso: Agua,"P001, P002, P003, P004, P005, P006, P007, P008, P009, P010, 
P011, P012, P013, P014, P015, P016, P017, P018, P019",https://ciruelacertificada.cl/recurso/curso-gestion-sustentable-del-agua/,https://www.chileagricola.cl/courses/82151-2/,,,
